Actual,Lower,Upper,Inside?
-0.0044509111977667,-0.011344449004749659,0.009558492681602838,YES
-0.0003494426502141,-0.013251901945690515,0.006348290822128657,YES
0.007657573644356,-0.01323098816595495,0.016821951946834925,YES
0.0034506697076412,-0.01445467152319372,0.013941415927032831,YES
0.0010697158254551,-0.020725117406467798,0.0017615420433086193,YES
0.0076321297434283,-0.02114918955288351,0.00295647361002386,NO
-0.0108846762510892,-0.019874141893009546,0.004021459600548152,YES
-0.0008825762723847,-0.017546237787823084,0.0036907134266895092,YES
-0.0012321559717249,-0.012665124020199182,0.014996053061107996,YES
-0.0026778318259059,-0.011877441188911798,0.01300632335863531,YES
-0.0003031269840456,-0.02551247306786001,0.0452171725841564,YES
0.0175673297602745,-0.015428514561275843,0.027518549344162348,YES
5.03324972633834e-05,-0.016042002818207148,0.021392976275305155,YES
0.0008536433743,-0.016721175393680933,0.0046634388776820935,YES
0.0037755350108565,-0.014956386170009973,0.006845274350265864,YES
0.0023946791656728,-0.01794082053623617,0.005817317745308284,YES
-0.0117229354919546,-0.013481022200207117,0.010316499850372675,YES
-0.0267864578946228,-0.013807663104156855,0.008782440206627252,NO
-0.0026209626510589,-0.016433486125091913,0.016983979723076227,YES
0.0127101624804444,-0.025640906176189783,0.04374466963730276,YES
-0.007428747813561,-0.03296454378090322,0.03219919779024542,YES
0.0103868640378157,-0.021162496289829615,0.030578961006025675,YES
-0.0008412844977941,-0.024352253756145838,0.033091307959179285,YES
-0.0085431469996303,-0.01601852603874624,0.025074371478180292,YES
0.0001967769998756,-0.023690433582882288,0.024210789582352045,YES
0.0164597624902924,-0.022505925378422144,0.03476236887894094,YES
0.0012835584110202,-0.012908914467911127,0.030957118949512842,YES
0.0051357593399101,-0.020685226997951868,0.013193541547874811,YES
0.0028887826964991,-0.013343789956192377,0.020059720954517725,YES
0.0016673576536574,-0.014229999265293482,0.012245745739559534,YES
0.0004695560778267,-0.013729893943886164,0.01566881068668783,YES
0.007551387144671,-0.010749125263313654,0.015685485086063745,YES
0.000285894410237,-0.01157277204714239,0.017760590991596582,YES
0.0013830024432652,-0.014694528064350489,0.013255396267990473,YES
0.0039756594063229,-0.01922682054958761,0.007922002455810907,YES
0.0033377600735777,-0.021367789587597254,0.007053056141952876,YES
0.0016959501132323,-0.0185939682336849,0.007206381640056971,YES
4.550829989491412e-05,-0.016947002491573694,0.004898527047256831,YES
-0.0032100820170585,-0.014445790431122187,0.0062812579484981335,YES
-0.0021270784221717,-0.014859811744312647,0.0058379707547229565,YES
-0.0116503502989019,-0.017234982332805994,0.008465343496422174,YES
0.0033900486950126,-0.017291636547665003,0.009282009086231592,YES
0.0041986500501236,-0.01717262097320974,0.018597030422310236,YES
-0.0048979634496194,-0.011553065261463526,0.01681399472675741,YES
0.0188796328272711,-0.016275787136177423,0.010768601080994013,NO
-0.0012761636040355,-0.01922972627602041,0.013056398710827234,YES
0.0010746751326089,-0.025778905830006006,-0.0005035238651233875,NO
0.0013709866056039,-0.015447141012768152,0.010713392278770807,YES
-0.0016129951842196,-0.014254772445778253,0.007369318387131099,YES
0.0015072376499098,-0.012998656711201075,0.00908137240133703,YES
0.0147604413777415,-0.017178521833042505,0.009066337129692438,NO
0.0057423850996662,-0.026029424151996973,0.010762893936256769,YES
5.203002169906768e-05,-0.025956706485370996,0.0046654877873462475,YES
0.0024575565157058,-0.016620607456783655,0.009580948731521967,YES
0.008148714241454,-0.016833962282757166,0.007274040362457637,NO
-0.0014152231703233,-0.013583437881092432,0.00848996021471441,YES
-0.0140609008520233,-0.015088388106445673,0.005278111776928309,YES
-0.0005404401234794,-0.015181073329071405,0.00818100698910177,YES
-0.0211963752609873,-0.01657636590919912,0.017808926633219126,NO
-0.0093266958801446,-0.014216036877254846,0.018559829673389795,YES
-0.0087488751686026,-0.03147450216732443,0.029859156689266565,YES
