date,close,high,low,open,volume,log_ret,ret_1,ret_5,ret_15,vol_5,vol_15,body,range,upper_wick,lower_wick,close_pos,ma_5,ma_20,dist_ma_5,dist_ma_20,volume_ma_5,volume_spike,target,bank_ret,it_ret
2020-01-28,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,-0.005228613250633523,-0.005214967844912932,-0.009371504854065127,0.0002364242221881696,0.007357493635267533,0.006926099602451519,-92.2998046875,139.0498046875,15.4501953125,31.2998046875,0.22509779684781267,12142.0599609375,12204.154931640625,-0.007104243969104904,-0.012156116321376602,476220.0,1.0047877031624017,0.006113256399948197,-0.0024645051656055905,0.0022081377752161124
2020-01-29,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,0.006094646255253335,0.006113256399948197,0.0018666717859923132,0.008660903342369686,0.0078073146306479645,0.0070636229051688855,14.599609375,65.7998046875,40.099609375,11.1005859375,0.39058163522165723,12146.5798828125,12201.504931640626,-0.0014061474898517637,-0.005901315620002285,579000.0,0.8884283246977531,-0.0077249841553650445,0.0037579238248661717,0.003015918151523911
2020-01-30,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,-0.007754976405079576,-0.0077249841553650445,-0.011867459418097748,-0.014743128232751257,0.007738920255508956,0.005986595971006726,-111.9501953125,139.7001953125,2.5498046875,25.2001953125,0.18038768847780393,12117.669921875,12189.184912109375,-0.00675625905931856,-0.012583705024401905,513080.0,1.0487643252514207,-0.006123414854723341,-0.0074359029505011165,-0.009187306708866028
2020-01-31,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,-0.006142239847635705,-0.006123414854723341,-0.023362553068805747,-0.024043812415031396,0.006386008341840025,0.005997172531115609,-138.30078125,157.7001953125,3.1494140625,16.25,0.10304362634235059,12060.43984375,12175.957373046875,-0.008153950904697936,-0.01756393826946846,548700.0,1.4056861673045353,-0.021250384719316173,0.006075537334828018,-0.011253743323024201
2020-02-03,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,-0.02147942474929971,-0.021250384719316173,-0.033921908521742705,-0.05041947385833656,0.009817320835918682,0.007516282645940435,80.4501953125,135.349609375,41.94921875,12.9501953125,0.6900676777391692,11978.219921875,12161.69990234375,-0.022567587923171564,-0.037313822521742625,594420.0,1.1268126913630074,0.02321082268667074,-0.026281433264371934,-0.005218608471891151
2020-02-04,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,0.02294554852001912,0.02321082268667074,-0.006316413286233558,-0.03095293109761088,0.016694649267462905,0.01008149316209572,193.400390625,202.75,6.5,2.849609375,0.9679408138053369,11962.9900390625,12158.034912109375,0.0013926578144843869,-0.01467215078537934,610800.0,0.9174852652259317,0.009140500467834434,0.02209784523207392,0.018116502074934537
2020-02-05,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,0.009098978920125088,0.009140500467834434,-0.003326568232408622,-0.02059007057140294,0.01707557813857005,0.010489406778690974,83.30078125,144.80078125,9.0,52.5,0.9378456392068821,11954.9201171875,12161.224951171875,0.011228035998711432,-0.005926587234119818,659520.0,1.149320718098009,0.004036661230167438,0.010273236508989925,0.005975296342948466
2020-02-06,12137.9501953125,12160.599609375,12084.650390625,12120.0,565100,0.00402853577236436,0.004036661230167438,0.008487212506244513,-0.017607527391647393,0.016660779430578133,0.010567668343364506,17.9501953125,75.94921875,22.6494140625,35.349609375,0.7017821323777371,11975.3501953125,12157.32744140625,0.013577891030163505,-0.0015938738334672462,664920.0,0.8498766768934596,-0.0032625431230384194,0.009744585931643845,-0.004705605475786356
2020-02-07,12098.349609375,12154.7001953125,12073.9501953125,12151.150390625,473500,-0.003267876820959125,-0.0032625431230384194,0.01139014089911261,-0.020562889493284997,0.016370009513322153,0.010577372085681297,-52.80078125,80.75,3.5498046875,24.3994140625,0.3021599264668463,12002.6001953125,12149.404931640625,0.0079773892743586,-0.004202289951885815,605360.0,0.782179199154221,-0.005525514763038308,-0.003261646491327874,0.0060472231723369685
2020-02-10,12031.5,12103.5498046875,11990.75,12102.349609375,524700,-0.005540836887552729,-0.005525514763038308,0.027639422832305582,-0.01579197661851528,0.011382329026816755,0.010353597294697406,-70.849609375,112.7998046875,1.2001953125,40.75,0.3612594907635907,12067.3201171875,12134.50244140625,-0.002968357252450947,-0.008488394304061238,576340.0,0.9104001110455617,0.006350030388978967,-0.004608639935419934,-0.0023194185219307384
2020-02-11,12107.900390625,12172.2998046875,12099.0,12108.400390625,480000,0.0063299538920958175,0.006350030388978967,0.010705654657531927,-0.005090384905190426,0.006280715134111843,0.010474014439213707,-0.5,73.2998046875,63.8994140625,8.900390625,0.12142447940787461,12092.9701171875,12121.782470703125,0.001234624190154868,-0.0011452177195619786,560260.0,0.8567450826402011,0.0077056964194832656,0.007806327267440238,0.001238536112123434
2020-02-12,12201.2001953125,12231.75,12144.2998046875,12151.0,411700,0.0076761591804553895,0.0077056964194832656,0.009268625260414831,0.007788930415296269,0.0059071387534949775,0.010574976610072612,50.2001953125,87.4501953125,30.5498046875,6.7001953125,0.6506605322151416,12115.380078125,12114.677490234375,0.007083567880998945,0.00714197345722747,491000.0,0.838492871690426,-0.0021759994314084485,0.00614368614054861,0.005215004835237513
2020-02-13,12174.650390625,12225.650390625,12139.7998046875,12219.5498046875,501200,-0.002178370358219195,-0.0021759994314084485,0.0030235908635276587,-0.00046790272305596847,0.0059852739820568475,0.010480535196758112,-44.8994140625,85.8505859375,6.1005859375,34.8505859375,0.4059446485602975,12122.7201171875,12105.635009765625,0.004283714623079789,0.005701095465351486,478220.0,1.0480531972732194,-0.005026854435148831,-0.008340022046395168,0.008160016873915765
2020-02-14,12113.4501953125,12246.7001953125,12091.2001953125,12190.150390625,622800,-0.005039531569823334,-0.005026854435148831,0.0012481525517991088,-0.011005637922764433,0.006315132556163094,0.010433893192413342,-76.7001953125,155.5,56.5498046875,22.25,0.14308681671933707,12125.740234375,12093.6900390625,-0.001013549591608373,0.0016339228296884784,508080.0,1.2257912139820477,-0.00558473346026378,-0.01266233729684263,-0.0018173507444765313
2020-02-17,12045.7998046875,12159.599609375,12037.0,12131.7998046875,0,-0.005600386389670753,-0.00558473346026378,0.0011885304980676636,-0.006040118434895603,0.006328824023555454,0.010172320421177182,-86.0,122.599609375,27.7998046875,8.7998046875,0.07177677589911345,12128.6001953125,12084.7525390625,-0.006826871138600199,-0.003223295987988967,403140.0,0.0,-0.004424762618648104,-0.004997708591783168,0.00029737986510647296
2020-02-18,11992.5,12030.75,11908.0498046875,12028.25,676900,-0.004434580853707973,-0.004424762618648104,-0.009530999339435686,-0.005250568665123967,0.005517081561749224,0.010147455448807036,-35.75,122.7001953125,2.5,84.4501953125,0.6882645548911235,12105.5201171875,12075.88505859375,-0.009336246282143046,-0.006905088793836284,442520.0,1.529648377474461,0.011123651500938081,-0.003852540705300722,0.0060699547680551635
2020-02-19,12125.900390625,12134.7001953125,12042.099609375,12090.599609375,513600,0.011062238693018929,0.011123651500938081,-0.006171508005944237,-0.0002967648604641493,0.006997863150273034,0.010449408947238099,35.30078125,92.6005859375,8.7998046875,48.5,0.9049703130999157,12090.46015625,12076.83505859375,0.0029312560412913962,0.0040627641094043085,462900.0,1.109526895657807,-0.003715252459506435,0.009020810441430216,0.0014180162698709253
2020-02-20,12080.849609375,12152.0,12071.4501953125,12119.0,502600,-0.003722171151700223,-0.003715252459506435,-0.007704597523574885,0.0037429838829616813,0.0070832568615875,0.010286788766175056,-38.150390625,80.5498046875,33.0,9.3994140625,0.1166907120240596,12071.7,12071.86005859375,0.0007579387638028838,0.0007446698965708454,463180.0,1.0851073016969621,-0.02081386879900149,0.003393570728535078,-0.007339371553137575
2020-02-24,11829.400390625,12012.5498046875,11813.400390625,12012.5498046875,490800,-0.02103353072205037,-0.02081386879900149,-0.02344912474213312,-0.011093304945061666,0.011369468441869042,0.011584377101101374,-183.1494140625,199.1494140625,0.0,16.0,0.08034168754771381,12014.8900390625,12050.917578125,-0.015438314277903601,-0.01838176936021045,436780.0,1.1236778240761913,-0.002662856861702312,-0.015762924604017514,-0.011267649583382888
2020-02-25,11797.900390625,11883.0498046875,11779.900390625,11877.5,461000,-0.002666408571566386,-0.002662856861702312,-0.020579738836937422,0.007687116989145704,0.011390022912633021,0.010102686369282977,-79.599609375,103.1494140625,5.5498046875,18.0,0.17450414201014255,11965.31015625,12034.86259765625,-0.013991260020748754,-0.01968964789655333,528980.0,0.8714885250860128,-0.010120477938589723,-0.0007355303687656134,0.00611714478191816
2020-02-26,11678.5,11783.25,11639.599609375,11738.5498046875,567600,-0.010172038146389433,-0.010120477938589723,-0.026183031061079887,-0.02513849576617644,0.011709277771995817,0.00830906433214108,-60.0498046875,143.650390625,44.7001953125,38.900390625,0.2707990591287625,11902.51015625,12015.997607421876,-0.01882041294729522,-0.028087356410042463,507120.0,1.1192617132039733,-0.003870376787472707,-0.004135325534142975,-0.013901886792452856
2020-02-27,11633.2998046875,11663.849609375,11536.7001953125,11661.25,608600,-0.0038778860778288546,-0.003870376787472707,-0.04062383576219619,-0.03770741294533042,0.007711940999944537,0.007762251997134729,-27.9501953125,127.1494140625,2.599609375,96.599609375,0.759733028158171,11803.9900390625,11991.18759765625,-0.01446038448102226,-0.029845900587753375,526120.0,1.1567703185585014,-0.03709607866493836,-0.003954584564327734,-0.012763103388234942
2020-02-28,11201.75,11384.7998046875,11175.0498046875,11382.0,809900,-0.0378016423222764,-0.03709607866493836,-0.07276802855759412,-0.07713000797070724,0.014623488512576435,0.0117267842338263,-180.25,209.75,2.7998046875,26.7001953125,0.12729532926041814,11628.1701171875,11949.485107421875,-0.036671300203736386,-0.06257467168668662,587580.0,1.3783654991660685,-0.006159751824491688,-0.03444688268897855,-0.056491002146417
2020-03-02,11132.75,11433.0,11036.25,11387.349609375,680800,-0.0061788013630017435,-0.006159751824491688,-0.058891437234393273,-0.07981250670973816,0.01462822706842044,0.01171392569335398,-254.599609375,396.75,45.650390625,96.5,0.24322621297985325,11488.8400390625,11908.017626953126,-0.03099442918969882,-0.06510467579409282,625580.0,1.0882700853607834,0.015319647408546855,-0.009563585962444443,0.014112988773121282
2020-03-03,11303.2998046875,11342.25,11152.5498046875,11217.5498046875,696500,0.015203486470954998,0.015319647408546855,-0.04192276333596834,-0.06052447286809626,0.019039221065679825,0.012880893427878288,85.75,189.7001953125,38.9501953125,65.0,0.7946749857103172,11389.919921875,11887.78759765625,-0.00760498034943521,-0.049167079085765744,672680.0,1.0354105964202873,-0.004626950146523701,0.010691623779494064,0.01915714948188718
2020-03-04,11251.0,11356.599609375,11082.150390625,11351.349609375,797700,-0.0046376876143074345,-0.004626950146523701,-0.036605728475403554,-0.07077200530064554,0.019083286692652916,0.012549799628657966,-100.349609375,274.44921875,5.25,168.849609375,0.6152307889358303,11304.419921875,11851.355078125,-0.004725578335216297,-0.050657083022777986,718700.0,1.1099206901349643,0.0015998577904186018,-0.017937104159755024,0.00897397524818544
2020-03-05,11269.0,11389.5,11244.599609375,11306.0498046875,1352500,0.0015985793812774052,0.0015998577904186018,-0.03131525971166926,-0.07640233586779732,0.019492940694988505,0.012208468902161745,-37.0498046875,144.900390625,83.4501953125,24.400390625,0.16839423634115278,11231.5599609375,11810.34755859375,0.0033334674072625,-0.04583671698974185,867480.0,1.5591137547839702,-0.024806975302821943,0.0056415848296615945,0.00044438171077776367
2020-03-06,10989.4501953125,11035.099609375,10827.400390625,10942.650390625,1811000,-0.02511985353017798,-0.024806975302821943,-0.018952378395116876,-0.09734983406383113,0.01458741000277053,0.013187422634333335,46.7998046875,207.69921875,45.6494140625,115.25,0.7802138383667839,11189.1,11752.92255859375,-0.017843240715294383,-0.06496021389360704,1067700.0,1.6961693359557914,-0.048956043335951605,-0.035186122578234724,-0.013095900127625293
2020-03-09,10451.4501953125,10751.5498046875,10294.4501953125,10742.0498046875,1565500,-0.05019499598647564,-0.048956043335951605,-0.06119779970694572,-0.13720285907008878,0.0255350634531885,0.017271520027951758,-290.599609375,457.099609375,9.5,157.0,0.3434699938035941,11052.8400390625,11670.577587890624,-0.054410435835911104,-0.10446161583665656,1244640.0,1.2577934181771426,0.0006649981756232659,-0.04815754363599667,-0.05162317549557893
2020-03-11,10458.400390625,10545.099609375,10334.0,10334.2998046875,1218500,0.0006647771623133455,0.0006649981756232659,-0.07474803187226076,-0.1317803250760302,0.02218066972903531,0.017456097054130523,124.1005859375,211.099609375,86.69921875,0.2998046875,0.5892971142519942,10883.86015625,11591.922607421875,-0.039090888666066026,-0.09778552317724439,1349040.0,0.9032348929609197,-0.08301938801064712,0.0009522689050325273,-0.011679647485855704
2020-03-12,9590.150390625,10040.75,9508.0,10039.9501953125,1343500,-0.08666894981793948,-0.08301938801064712,-0.1476179547929073,-0.2003210014071295,0.03729250910587614,0.026400233134589765,-449.7998046875,532.75,0.7998046875,82.150390625,0.15420063937089779,10551.690234375,11466.035107421874,-0.09112661785857996,-0.1636036083286217,1458200.0,0.9213413797832939,0.03806507612689369,-0.09501167856644599,-0.08831247338489112
2020-03-13,9955.2001953125,10159.400390625,8555.150390625,9107.599609375,1388000,0.03735847654239177,0.03806507612689369,-0.11658530523449284,-0.1790135268627765,0.047394371632284764,0.028993325291869248,847.6005859375,1604.25,204.2001953125,552.44921875,0.8727129840652188,10288.9302734375,11353.735107421875,-0.03243583825099647,-0.123178398903737,1465300.0,0.9472462976864799,-0.07612100106679087,0.04986406841767432,0.011524223618617269
2020-03-16,9197.400390625,9602.2001953125,9165.099609375,9587.7998046875,897700,-0.07917416945110371,-0.07612100106679087,-0.16307001468116122,-0.23867934060799678,0.05328656750193194,0.033444375756756066,-390.3994140625,437.1005859375,14.400390625,32.30078125,0.07389782189526672,9930.5203125,11204.872607421876,-0.07382492546258519,-0.17916064618772798,1282640.0,0.6998846129857165,-0.02504518409052825,-0.08206550960677594,-0.08034138394600476
2020-03-17,8967.0498046875,9403.7998046875,8915.599609375,9285.400390625,935600,-0.02536415171509603,-0.02504518409052825,-0.1420281743571583,-0.24196920312258274,0.05274093578832713,0.03348942958800168,-318.3505859375,488.2001953125,118.3994140625,51.4501953125,0.10538749432384192,9633.640234375,11047.552587890625,-0.06919403397575039,-0.18832250551887778,1156660.0,0.8088807428284883,-0.05556454027271507,-0.040950393197229706,-0.028278027717565157
2020-03-18,8468.7998046875,9127.5498046875,8407.0498046875,9088.4501953125,1516600,-0.05716792711513327,-0.05556454027271507,-0.1902394736886336,-0.2821773769664061,0.05045198823616817,0.034590947434393234,-619.650390625,720.5,39.099609375,61.75,0.085704371963795,9235.7201171875,10868.702587890624,-0.08303849648635153,-0.22080857984622546,1216280.0,1.2469168283618894,-0.024247781753128472,-0.07108730656541462,-0.028617476289852672
2020-03-19,8263.4501953125,8575.4501953125,7832.5498046875,8063.2998046875,925700,-0.02454659954775134,-0.024247781753128472,-0.138339873857394,-0.29242195527572035,0.044000982233053314,0.03443559471034915,200.150390625,742.900390625,312.0,230.75,0.58002445019837,8970.380078125,10682.25009765625,-0.07880712708443706,-0.22643168623008078,1132720.0,0.817236386750476,0.058329146858465686,-0.02413490064477919,-0.0351399642644431
