date,close,high,low,open,volume,log_ret,ret_1,ret_5,ret_15,vol_5,vol_15,body,range,upper_wick,lower_wick,close_pos,ma_5,ma_20,dist_ma_5,dist_ma_20,volume_ma_5,volume_spike,target,bank_ret,it_ret,pharma_ret,auto_ret,fmcg_ret,metal_ret,energy_ret,log_ret_lag1,log_ret_lag2,bank_ret_lag1,bank_ret_lag2,it_ret_lag1,it_ret_lag2,pharma_ret_lag1,pharma_ret_lag2,auto_ret_lag1,auto_ret_lag2,fmcg_ret_lag1,fmcg_ret_lag2,metal_ret_lag1,metal_ret_lag2,energy_ret_lag1,energy_ret_lag2,corr_nifty_log_ret,corr_nifty_bank_ret,corr_nifty_it_ret,corr_nifty_pharma_ret,corr_nifty_auto_ret,corr_nifty_fmcg_ret,corr_nifty_metal_ret,corr_nifty_energy_ret,corr_nifty_log_ret_lag1,corr_nifty_log_ret_lag2,corr_nifty_bank_ret_lag1,corr_nifty_bank_ret_lag2,corr_nifty_it_ret_lag1,corr_nifty_it_ret_lag2,corr_nifty_pharma_ret_lag1,corr_nifty_pharma_ret_lag2,corr_nifty_auto_ret_lag1,corr_nifty_auto_ret_lag2,corr_nifty_fmcg_ret_lag1,corr_nifty_fmcg_ret_lag2,corr_nifty_metal_ret_lag1,corr_nifty_metal_ret_lag2,corr_nifty_energy_ret_lag1,corr_nifty_energy_ret_lag2,trend_strength,momentum,rsi,high_vol,sector_mean,sector_std,strongest_sector,bank_ret_vs_nifty,it_ret_vs_nifty,pharma_ret_vs_nifty,auto_ret_vs_nifty,fmcg_ret_vs_nifty,metal_ret_vs_nifty,energy_ret_vs_nifty
2018-01-30,11049.650390625,11121.099609375,11033.900390625,11120.849609375,228000,-0.007281350035077295,-0.0072549052294663685,0.007609763986268447,0.04010418284909978,0.006842626481616827,0.004804743905225321,-71.19921875,87.19921875,0.25,15.75,0.18062088428767464,11083.8802734375,10775.107568359375,-0.003088258080027463,0.025479357911173662,273600.0,0.8333333333333304,-0.001986505865481769,-0.008342186918683825,-0.010160453440626771,-0.006110753306054484,-0.004324222351593576,-0.0016420301894564115,-0.00594083269765644,-0.000869199409623489,0.00547297411504586,-0.0014758864718050037,0.0019237105581337843,0.0017190747435733567,0.009502349419825196,-0.009939975112656763,-0.010977400591208109,-0.009896808203824325,0.01482917083052726,-0.012604444209083021,-0.005742081093392026,-0.006187043890572563,0.001378473682240422,0.009225427114251783,-0.005848377615452982,-0.0026956417294334845,0.999996883615943,0.8912455236357367,0.1685733524470335,0.5448127426966366,0.6823457234399443,0.5551134683994126,0.5993788805691811,0.631359170223656,-0.2441873055461921,0.2757528749243722,-0.07173225736041965,0.484587185435342,0.32123955470763643,0.09369487899333989,0.05597047014832511,0.1247782995978182,-0.3716504245055893,0.1265715937321136,0.13866356385271827,0.5167388452713568,-0.3077200639397499,-0.29235862332422696,0.14485190906273407,-0.16205364529019123,308.772705078125,83.4501953125,79.53204848488129,1,-0.005341382616242142,0.003364020108579042,energy_ret,-0.0010872816892174564,-0.0029055482111604025,0.0011441519234118847,0.0029306828778727922,0.005612875040009957,0.0013140725318099289,0.0063857058198428795
2018-01-31,11027.7001953125,11058.5,10979.2998046875,11018.7998046875,245900,-0.0019884815852113905,-0.001986505865481769,-0.005052464340715712,0.036730299455908666,0.004582997228637784,0.004941755567873697,8.900390625,79.2001953125,30.7998046875,39.5,0.6111145361878918,11072.6802734375,10804.382568359375,-0.004062257467408623,0.020669170638876716,265860.0,0.9249228917475328,-0.000979334267002474,0.004048463814155356,-0.009272983409028157,-0.018695966282296417,-0.001376000779375497,-0.013986530784218187,-0.012244130542058862,0.005943563671062968,-0.007281350035077295,0.00547297411504586,-0.008342186918683825,0.0019237105581337843,-0.010160453440626771,0.009502349419825196,-0.006110753306054484,-0.010977400591208109,-0.004324222351593576,0.01482917083052726,-0.0016420301894564115,-0.005742081093392026,-0.00594083269765644,0.001378473682240422,-0.000869199409623489,-0.005848377615452982,0.9999965395212846,0.8455466882235619,0.7269334304572043,0.6105501784728836,0.5939525425685765,0.5102522169494061,0.5431100202397008,0.4597224560214598,0.03051428972083897,0.2196967858755137,0.24172985226154595,0.4988315003860944,0.29074186960227477,0.004788418840963804,0.004592558483881638,0.19420166731612087,-0.5012712079228352,-0.008926821909631235,0.14158854585967312,0.5178149113104475,-0.2788204614337483,-0.27015752899255097,0.13626247015466914,-0.04551428031560369,268.29770507812464,-56.0,77.62647719152164,0,-0.006511940615965542,0.009467848620920987,energy_ret,0.0060349696796371255,-0.007286477543546388,-0.016709460416814648,0.0006105050861062722,-0.012000024918736418,-0.010257624676577093,0.007930069536544737
2018-02-01,11016.900390625,11117.349609375,10878.7998046875,11044.5498046875,306200,-0.000979814128127614,-0.000979334267002474,-0.006233051540230905,0.03618255753706601,0.004534449885146585,0.004965399759870842,-27.6494140625,238.5498046875,72.7998046875,138.1005859375,0.5789172039685077,11058.8603515625,10833.067578125,-0.0037942391533655187,0.016969598977782684,270420.0,1.1323126987648802,-0.023264327729431322,-0.00579814047751781,-0.001678739342253599,-0.024086928760755466,0.007035818083313883,0.008279467654601191,0.001364980152785078,-0.013148641175554476,-0.0019884815852113905,-0.007281350035077295,0.004048463814155356,-0.008342186918683825,-0.009272983409028157,-0.010160453440626771,-0.018695966282296417,-0.006110753306054484,-0.001376000779375497,-0.004324222351593576,-0.013986530784218187,-0.0016420301894564115,-0.012244130542058862,-0.00594083269765644,0.005943563671062968,-0.000869199409623489,0.999996171630648,0.8136320132444503,0.742087213751192,0.5558006232551027,0.46052591208823884,0.3710832855789584,0.4989481520813585,0.5153143595359919,0.23837675494129237,0.2734348922413367,0.42298482125222736,0.464865292298154,0.16909484031374986,0.2575175029143231,0.14277314259449653,0.3401363232605088,-0.3958314248185291,0.12703981789382288,0.4625193589383622,0.6022451623075316,-0.10368531465050239,-0.2793069260689466,0.41176746400157427,-0.027199433581181313,225.79277343750073,-69.099609375,75.84093427637869,0,-0.004004597695054457,0.011526501155550043,fmcg_ret,-0.004818806210515336,-0.0006994050752511249,-0.023107594493752992,0.008015152350316357,0.009258801921603665,0.002344314419787552,-0.012169306908552002
2018-02-02,10760.599609375,10954.9501953125,10736.099609375,10938.2001953125,282700,-0.023539213933076866,-0.023264327729431322,-0.027918748139664662,0.01027108795782894,0.010972947601287652,0.008338122657054298,-177.6005859375,218.8505859375,16.75,24.5,0.1119485236694081,10997.0501953125,10845.857568359375,-0.021501273681399362,-0.007860877615901802,260900.0,1.0835569183595206,-0.00874020111347329,-0.028270692142750353,0.0014655292544676346,-0.012660114736788075,-0.03349263076773268,-0.0062811277752710115,-0.03023526464319093,-0.03425434646603631,-0.000979814128127614,-0.0019884815852113905,-0.00579814047751781,0.004048463814155356,-0.001678739342253599,-0.009272983409028157,-0.024086928760755466,-0.018695966282296417,0.007035818083313883,-0.001376000779375497,0.008279467654601191,-0.013986530784218187,0.001364980152785078,-0.012244130542058862,-0.013148641175554476,0.005943563671062968,0.9999832360922165,0.9476528790906287,0.46224924763844544,0.48100727805716553,0.8305985932195321,0.4422475520383764,0.7324383692914654,0.8340154859269105,0.2980378775463194,0.427853996919619,0.5904265096856373,0.34097755472569663,0.2269393547428916,0.5274568887895976,0.5333490065631459,0.6066895929208417,-0.48994892705244675,0.1355942237883821,-0.01705606592131257,0.8888904096458975,-0.09893566800760337,0.02461400066081673,0.5844703304981733,-0.10936186118970513,151.192626953125,-309.05078125,54.248521847801435,1,-0.02053266389675739,0.014487159085583779,it_ret,-0.005006364413319031,0.024729856983898957,0.010604212992643247,-0.010228303038301356,0.01698319995416031,-0.006970936913759607,-0.01099001873660499
2018-02-05,10666.5498046875,10702.75,10586.7998046875,10604.2998046875,240100,-0.00877862069830589,-0.00874020111347329,-0.041674204849647234,-0.0013762617027501811,0.009037323301850675,0.008657375593096536,62.25,115.9501953125,36.2001953125,17.5,0.687795305427267,10904.280078125,10851.242578125,-0.021801556061863243,-0.01702042619615031,260580.0,0.9214060940977784,-0.015778279553294694,-0.013322693510485872,-0.0035967851870817302,0.0029581709103978504,0.007472179035749482,0.00042676846449074546,-0.005508699878687184,-0.000646041406624942,-0.023539213933076866,-0.000979814128127614,-0.028270692142750353,-0.00579814047751781,0.0014655292544676346,-0.001678739342253599,-0.012660114736788075,-0.024086928760755466,-0.03349263076773268,0.007035818083313883,-0.0062811277752710115,0.008279467654601191,-0.03023526464319093,0.001364980152785078,-0.03425434646603631,-0.013148641175554476,0.9999820780221387,0.9534500979832743,0.48990774205455245,0.3480390992795279,0.7193211568993306,0.3536990522478381,0.7127658486952032,0.7850461725467043,0.3653154975740966,0.40154019233040744,0.5115020913647337,0.3454001681318887,0.24581677288738898,0.5363637518420054,0.6388749871642182,0.5880065605933105,-0.0630344929144958,-0.004594193902863993,-0.0879964205965798,0.7311914748556264,0.1787750571114842,-0.039369004386414636,0.6750294795688737,0.013730820340251929,53.037500000000364,-463.8505859375,46.12443001804438,1,-0.0017453002246059501,0.006641260244242176,auto_ret,-0.004582492397012583,0.005143415926391559,0.01169837202387114,0.01621238014922277,0.009166969577964035,0.003231501234786105,0.008094159706848347
2018-02-06,10498.25,10594.150390625,10276.2998046875,10295.150390625,266500,-0.01590408165467595,-0.015778279553294694,-0.04990206668374153,-0.022650344606820805,0.009551506701330318,0.009394843995915827,203.099609375,317.8505859375,95.900390625,18.8505859375,0.6982846819588513,10794.0,10844.97509765625,-0.027399481193255512,-0.0319710367736282,268280.0,0.993365140897566,-0.0020527044686019513,-0.011013960436014325,-0.02895212685732873,-0.021858977892937892,-0.01797760383352054,-0.01909037038101158,-0.01643938012388002,-0.013271457325686908,-0.00877862069830589,-0.023539213933076866,-0.013322693510485872,-0.028270692142750353,-0.0035967851870817302,0.0014655292544676346,0.0029581709103978504,-0.012660114736788075,0.007472179035749482,-0.03349263076773268,0.00042676846449074546,-0.0062811277752710115,-0.005508699878687184,-0.03023526464319093,-0.000646041406624942,-0.03425434646603631,0.9999840717281249,0.9338229667709714,0.5436033885987058,0.4081891242466115,0.765392767513205,0.473117717403943,0.7893402270289631,0.7697867604922161,0.3684888700562422,0.5467452627263155,0.5093049686082668,0.47956036489969567,0.2928237919038531,0.5426377099187633,0.4264095768619617,0.7040217108275595,-0.19987256290351438,0.35294512793398203,-0.22825799749001763,0.7221225175119288,0.14161095677389912,0.3393342736580288,0.5737096779951599,0.3954030821942397,-50.97509765625,-551.400390625,40.765426041447355,1,-0.018371982407197143,0.0058971886644475155,bank_ret,0.004764319117280369,-0.013173847304034036,-0.006080698339643198,-0.002199324280225845,-0.003312090827716885,-0.0006611005705853268,0.0025068222276077856
2018-02-07,10476.7001953125,10614.0,10446.400390625,10607.2001953125,250400,-0.0020548141539544224,-0.0020527044686019513,-0.04996508703004199,-0.020910335164964988,0.009537219353017618,0.00937486037844411,-130.5,167.599609375,6.7998046875,30.2998046875,0.18078684550823831,10683.8,10836.960107421875,-0.01938447038389892,-0.03324363184308903,269180.0,0.9302325581395314,0.009559251691416026,-0.005474364733059511,-0.008939394952333868,0.007276291919120714,0.0029557047774679823,0.0022851605305684863,0.0045960642154323494,0.00909544549062824,-0.01590408165467595,-0.00877862069830589,-0.011013960436014325,-0.013322693510485872,-0.02895212685732873,-0.0035967851870817302,-0.021858977892937892,0.0029581709103978504,-0.01797760383352054,0.007472179035749482,-0.01909037038101158,0.00042676846449074546,-0.01643938012388002,-0.005508699878687184,-0.013271457325686908,-0.000646041406624942,0.9999906054173799,0.9021513205887975,0.4061340409132666,0.19462429572551282,0.8076633667432419,0.3765297241562965,0.7199548082647809,0.6707123582505126,0.16602208395019985,0.4350532536209224,0.42166775011765845,0.26942249118317213,-0.11305713922902152,0.5626333360444977,0.273316938984506,0.7116776336455812,-0.3253117980072459,0.36755302238709003,-0.4166094071903913,0.6869948719682786,0.1747647854542593,0.28039478629212244,0.3621030700820268,0.320189321928004,-153.1601074218761,-551.0,34.83590520861881,1,0.001684986749689199,0.006592428704425816,energy_ret,-0.00342166026445756,-0.0068866904837319165,0.009328996387722666,0.005008409246069934,0.004337864999170438,0.006648768684034301,0.011148149959230191
2018-02-08,10576.849609375,10637.7998046875,10479.5498046875,10518.5,232200,0.009513851145813865,0.009559251691416026,-0.039943247705540474,-0.019622673959434178,0.012713297628780153,0.009476666082814689,58.349609375,158.25,60.9501953125,38.9501953125,0.6148486868049615,10595.78984375,10834.192578125,-0.0017875245408130432,-0.02375285162178056,254380.0,0.912807610661212,-0.011525115565078292,0.009764369122248429,0.01110837360951189,0.036555249419715885,0.011542851629550377,0.001984353988704113,0.014614331122333901,0.0014518149610607267,-0.0020548141539544224,-0.01590408165467595,-0.005474364733059511,-0.011013960436014325,-0.008939394952333868,-0.02895212685732873,0.007276291919120714,-0.021858977892937892,0.0029557047774679823,-0.01797760383352054,0.0022851605305684863,-0.01909037038101158,0.0045960642154323494,-0.01643938012388002,0.00909544549062824,-0.013271457325686908,0.9999849471894094,0.9224811511897865,0.5075085002762036,0.4761613631783747,0.8520730860560972,0.40006673803507214,0.8895683422303805,0.6809546732731034,0.11640605937239178,0.09454377159702866,0.3236943650535074,0.08647420585222679,-0.2597695039489371,-0.04377508109377421,0.38447856070001324,0.34183786423721957,-0.23116857425952037,0.11232616815291194,-0.3297291482532341,0.11335520374299984,0.15041554814569078,0.13434661306498405,0.4484201807055651,0.08993363520148574,-238.40273437499854,-440.05078125,39.08356919836471,1,0.012431620550446474,0.011733643420369994,pharma_ret,0.0002051174308324022,0.0015491219180958637,0.02699599772829986,0.0019835999381343505,-0.0075748977027119135,0.005055079430917875,-0.0081074367303553
2018-02-09,10454.9501953125,10480.2001953125,10398.2001953125,10416.5,191600,-0.0115920444485001,-0.011525115565078292,-0.028404496511161725,-0.03347044510377184,0.009912694986794044,0.009760195338681254,38.4501953125,82.0,25.25,18.2998046875,0.6920731707232674,10534.6599609375,10824.380078125,-0.007566429853508741,-0.03412942636401696,236160.0,0.811314363143628,0.008110971654893273,-0.017630784331115312,-0.007598248938944785,-0.004307757643349341,-0.009648119164692215,-0.004565672011694888,0.012689085798488264,-0.0063779283215104066,0.009513851145813865,-0.0020548141539544224,0.009764369122248429,-0.005474364733059511,0.01110837360951189,-0.008939394952333868,0.036555249419715885,0.007276291919120714,0.011542851629550377,0.0029557047774679823,0.001984353988704113,0.0022851605305684863,0.014614331122333901,0.0045960642154323494,0.0014518149610607267,0.00909544549062824,0.9999852809256004,0.9258120808482776,0.5386458990531843,0.4757350515532545,0.9132143544063488,0.4128905719031892,0.72148498569614,0.6667697632591465,-0.03132063105365826,0.007410166256720878,0.15591702116454276,0.021121615153688083,-0.44590047637478336,-0.06763222737706875,0.030505256964988493,0.18251457568421908,-0.28006962415725456,0.05161701403853798,-0.43029700340526533,0.019604198907845354,0.06146085455382769,-0.007861335694805039,0.39229437960048963,-0.06169055316198644,-289.72011718749854,-305.6494140625,30.782650852126906,1,-0.005348489230402669,0.009151619092255156,metal_ret,-0.00610566876603702,0.003926866626133507,0.007217357921728951,0.0018769964003860773,0.006959443553383404,0.024214201363566557,0.005147187243567886
2018-02-12,10539.75,10555.5,10485.400390625,10518.2001953125,217400,0.008078254517088934,0.008110971654893273,-0.01188761192787724,-0.032580079208165746,0.011387563212547339,0.009826391025984912,21.5498046875,70.099609375,15.75,32.7998046875,0.7753197180241017,10509.3,10817.305078125,0.002897433701578671,-0.025658431200787573,231620.0,0.9386063379673564,-0.0036860086221209842,0.009344694738616877,-0.005607258926599745,0.012729710666927518,0.011571241015599032,0.004421583692264086,0.010673803399179338,0.01390074425697807,-0.0115920444485001,0.009513851145813865,-0.017630784331115312,0.009764369122248429,-0.007598248938944785,0.01110837360951189,-0.004307757643349341,0.036555249419715885,-0.009648119164692215,0.011542851629550377,-0.004565672011694888,0.001984353988704113,0.012689085798488264,0.014614331122333901,-0.0063779283215104066,0.0014518149610607267,0.9999847392627225,0.9393429167349611,0.40057877222994176,0.6211063115819854,0.9052370552303091,0.552498425456784,0.7689934674869152,0.7849748186468358,-0.1719814134553954,0.16526750902148082,-0.0926988088277458,0.16572225917073202,-0.41532527752204845,-0.07430305909280334,0.06907969080139348,0.3861961525151136,-0.26353077058144286,0.21725422732264518,-0.394831581085248,0.0013883936140471828,0.12268415281042686,0.32695986612218897,0.34188367520145846,0.033566895617121666,-308.0050781250011,-126.7998046875,31.578001513252147,1,0.008147788406137882,0.006791045643642426,energy_ret,0.0012337230837236035,-0.013718230581493018,0.004618739012034245,0.003460269360705759,-0.003689387962629187,0.002562831744286065,0.005789772602084797
